date,PRECTOTCORR,Pressure_kPa,Humidity_percent,Temperature_C,Wind_m_s
2018-01-01,1.57,96.18,83.74,24.21,0.97
2018-01-02,1.23,96.09,76.0,25.28,0.57
2018-01-03,10.84,96.07,75.62,25.45,0.81
2018-01-04,96.72,96.18,91.12,23.41,1.57
2018-01-05,3.31,96.2,85.44,23.7,1.49
2018-01-06,2.74,96.14,85.61,23.93,1.28
2018-01-07,2.99,96.19,87.0,23.54,0.9
2018-01-08,1.5,96.22,81.35,24.97,0.84
2018-01-09,4.37,96.25,83.31,24.75,0.81
2018-01-10,5.09,96.16,84.99,24.85,1.05
2018-01-11,34.98,96.09,90.4,24.12,1.34
2018-01-12,3.43,96.12,91.81,23.42,0.96
2018-01-13,11.84,96.18,89.92,22.95,1.44
2018-01-14,2.88,96.19,83.57,23.84,1.01
2018-01-15,0.29,96.18,79.68,24.77,0.73
2018-01-16,0.48,96.16,78.7,25.33,0.76
2018-01-17,0.65,96.04,79.51,25.64,0.84
2018-01-18,11.29,96.07,88.52,24.24,1.63
2018-01-19,7.44,96.1,86.72,23.89,0.92
2018-01-20,2.33,96.09,84.76,24.36,1.02
2018-01-21,5.03,96.12,86.26,24.32,1.46
2018-01-22,15.54,96.08,86.69,24.38,1.27
2018-01-23,8.51,96.07,89.62,23.21,1.28
2018-01-24,1.56,96.06,83.85,24.0,1.05
2018-01-25,1.03,96.08,83.02,24.44,1.02
2018-01-26,3.47,96.07,81.35,24.55,0.74
2018-01-27,0.7,95.97,79.34,25.31,1.02
2018-01-28,1.05,95.95,77.55,25.87,0.69
2018-01-29,8.28,96.04,75.9,26.19,0.7
2018-01-30,0.43,96.0,78.09,26.19,0.86
2018-01-31,1.81,95.85,80.35,26.02,0.93
2018-02-01,1.71,95.86,82.47,25.74,0.73
2018-02-02,3.27,95.87,83.67,25.89,0.98
2018-02-03,2.02,95.95,86.8,25.27,1.05
2018-02-04,1.85,95.89,79.92,26.05,0.91
2018-02-05,2.87,95.81,81.16,26.64,0.67
2018-02-06,0.78,95.89,83.73,26.02,1.41
2018-02-07,1.19,95.86,83.31,26.17,1.38
2018-02-08,0.3,95.88,87.76,25.58,1.51
2018-02-09,5.3,95.88,89.46,25.3,1.81
2018-02-10,16.32,95.89,89.92,24.86,1.47
2018-02-11,1.6,95.99,81.43,25.31,1.05
2018-02-12,1.14,96.07,80.49,25.85,0.66
2018-02-13,1.98,96.11,82.23,25.5,0.88
2018-02-14,0.57,96.03,80.28,25.99,1.02
2018-02-15,3.48,95.99,77.64,26.84,0.76
2018-02-16,24.12,96.0,82.48,26.28,0.94
2018-02-17,9.41,96.05,89.85,24.5,2.05
2018-02-18,2.08,96.0,79.86,25.08,0.99
2018-02-19,10.71,96.0,80.17,25.27,0.76
2018-02-20,3.93,95.98,81.72,25.32,0.78
2018-02-21,4.16,95.87,83.02,25.31,0.84
2018-02-22,5.93,95.87,88.39,24.45,1.56
2018-02-23,3.52,95.89,85.34,25.2,0.95
2018-02-24,4.64,95.96,83.08,25.59,1.11
2018-02-25,20.06,96.1,87.03,24.79,0.9
2018-02-26,2.78,96.06,84.23,24.99,1.93
2018-02-27,5.06,96.17,88.48,23.91,1.61
2018-02-28,1.62,96.23,88.26,23.95,1.81
2018-03-01,0.44,96.21,84.14,24.31,1.25
2018-03-02,0.92,96.15,87.39,24.19,1.66
2018-03-03,5.97,96.1,86.04,24.5,1.52
2018-03-04,1.73,96.1,88.32,24.06,1.83
2018-03-05,0.39,96.07,82.73,24.56,1.52
2018-03-06,0.09,96.08,75.42,25.55,0.99
2018-03-07,0.05,96.13,71.97,26.16,0.92
2018-03-08,0.4,96.13,80.12,25.36,1.18
2018-03-09,4.11,96.12,85.72,24.66,1.33
2018-03-10,4.36,96.14,89.42,24.56,1.41
2018-03-11,3.41,96.18,85.32,24.96,1.63
2018-03-12,0.68,96.18,84.33,25.43,1.57
2018-03-13,0.56,96.14,85.82,25.57,1.49
2018-03-14,1.9,96.1,89.06,24.62,1.55
2018-03-15,2.24,96.05,87.76,24.67,1.56
2018-03-16,0.86,95.99,83.47,25.47,1.14
2018-03-17,5.2,95.99,86.21,24.81,1.39
2018-03-18,10.96,95.99,86.26,24.66,1.41
2018-03-19,11.45,96.08,82.95,24.78,1.07
2018-03-20,3.98,96.09,81.1,25.13,0.98
2018-03-21,2.43,96.16,86.73,24.51,1.01
2018-03-22,5.44,96.16,87.24,24.47,1.33
2018-03-23,1.14,96.09,86.41,24.27,1.3
2018-03-24,6.46,96.03,85.44,24.39,1.17
2018-03-25,0.13,95.97,76.8,26.03,0.74
2018-03-26,3.62,96.03,85.54,25.04,0.74
2018-03-27,3.78,96.07,90.07,24.72,1.71
2018-03-28,2.44,96.18,89.81,23.63,1.44
2018-03-29,3.15,96.07,81.35,24.58,0.66
2018-03-30,1.8,95.99,72.49,26.74,0.45
2018-03-31,2.59,95.94,80.99,26.16,0.8
2018-04-01,11.11,95.82,83.82,26.0,0.87
2018-04-02,9.11,95.81,86.59,25.03,1.77
2018-04-03,3.57,95.85,83.77,25.39,1.32
2018-04-04,4.38,95.92,84.93,25.02,1.22
2018-04-05,13.09,95.88,86.53,24.72,0.98
2018-04-06,3.32,95.85,86.0,24.84,1.24
2018-04-07,0.42,95.97,82.78,24.79,0.76
2018-04-08,7.76,96.0,83.53,24.97,1.08
2018-04-09,18.17,96.04,93.29,23.26,1.37
2018-04-10,2.87,96.03,84.59,24.24,0.83
2018-04-11,19.67,96.01,89.88,24.12,1.62
2018-04-12,11.78,96.07,91.86,23.59,1.11
2018-04-13,5.25,96.2,89.52,23.85,0.87
2018-04-14,4.77,96.3,86.2,23.62,0.87
2018-04-15,2.09,96.26,83.18,24.29,1.09
2018-04-16,3.85,96.3,83.56,25.29,1.06
2018-04-17,3.3,96.29,82.58,25.47,0.82
2018-04-18,2.56,96.23,85.23,25.31,1.1
2018-04-19,3.61,96.16,83.23,25.74,0.97
2018-04-20,14.04,96.15,87.29,24.94,1.19
2018-04-21,1.93,96.14,82.33,25.21,0.89
2018-04-22,6.3,96.1,81.78,25.71,0.47
2018-04-23,4.44,96.11,86.39,24.78,0.96
2018-04-24,3.69,96.1,83.07,25.85,1.08
2018-04-25,13.73,96.13,86.2,25.57,1.19
2018-04-26,1.9,96.17,93.17,23.94,0.88
2018-04-27,0.37,96.12,84.16,25.1,0.86
